From	To	Species	Gene Name
726021	GB47615	Apis mellifera	uncharacterized LOC726021(LOC726021)
727354	GB47097	Apis mellifera	vacuolar protein sorting-associated protein VTA1 homolog(LOC727354)
726024	GB44140	Apis mellifera	WW domain-binding protein 4(LOC726024)
727350	GB51429	Apis mellifera	ceramide synthase 6(LOC727350)
726020	GB43735	Apis mellifera	protein OSCP1(LOC726020)
726029	GB42772	Apis mellifera	probable RNA-binding protein 18(LOC726029)
726025	GB47817	Apis mellifera	uncharacterized LOC726025(LOC726025)
726027	GB54498	Apis mellifera	ADP-ribosylation factor-like protein 1(LOC726027)
727358	GB51428	Apis mellifera	beta-1,4-glucuronyltransferase 1-like(LOC727358)
726028	GB48845	Apis mellifera	probable rRNA-processing protein EBP2 homolog(LOC726028)
550673	GB46792	Apis mellifera	inosine-5'-monophosphate dehydrogenase 1b(LOC550673)
550671	GB49552	Apis mellifera	venom serine protease Bi-VSP(LOC550671)
550677	GB11848	Apis mellifera	protein mab-21(LOC550677)
727300	GB43376	Apis mellifera	low molecular weight phosphotyrosine protein phosphatase-like(LOC727300)
410487	GB43546	Apis mellifera	uncharacterized LOC410487(LOC410487)
410489	GB43718	Apis mellifera	myosin-IIIb(LOC410489)
727306	GB45380	Apis mellifera	bolA-like protein 3(LOC727306)
727308	GB43375	Apis mellifera	ephrin-B1-like(LOC727308)
727302	GB48509	Apis mellifera	prominin-1-A(LOC727302)
727303	GB52511	Apis mellifera	probable methyltransferase BTM2 homolog(LOC727303)
410495	GB54182	Apis mellifera	cytochrome P450 307a1(LOC410495)
410494	GB54183	Apis mellifera	DNA-directed RNA polymerases I, II, and III subunit RPABC2(LOC410494)
410497	GB54181	Apis mellifera	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1(LOC410497)
410493	GB54119	Apis mellifera	vacuolar protein sorting-associated protein 11 homolog(LOC410493)
410492	GB43713	Apis mellifera	cytochrome P450 9e2(LOC410492)
410499	GB54180	Apis mellifera	protein gooseberry(LOC410499)
410498	GB54127	Apis mellifera	potassium voltage-gated channel subfamily H member 6(LOC410498)
727320	GB41690	Apis mellifera	U3 small nucleolar RNA-associated protein 18 homolog(LOC727320)
727327	GB41686	Apis mellifera	translocase of outer membrane 7(Tom7)
727324	GB42678	Apis mellifera	prolactin-releasing peptide receptor-like(LOC727324)
727310	GB45381	Apis mellifera	putative sodium-coupled neutral amino acid transporter 7(LOC727310)
727311	GB41653	Apis mellifera	band 7 protein AGAP004871(LOC727311)
727312	GB41681	Apis mellifera	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1(LOC727312)
727313	GB41691	Apis mellifera	uncharacterized LOC727313(LOC727313)
727309	GB41663	Apis mellifera	glutaredoxin-C4(LOC727309)
410206	GB51074	Apis mellifera	differentially expressed in FDCP 8 homolog(LOC410206)
412869	GB46142	Apis mellifera	sarcoplasmic calcium-binding protein(LOC412869)
409217	GB42844	Apis mellifera	guanine nucleotide exchange factor DBS-like(LOC409217)
410205	GB50972	Apis mellifera	gastrulation defective protein 1 homolog(LOC410205)
411536	GB52252	Apis mellifera	E3 ubiquitin-protein ligase HERC2(LOC411536)
726099	GB53750	Apis mellifera	UPF0454 protein C12orf49 homolog(LOC726099)
410208	GB51064	Apis mellifera	serine/threonine-protein kinase 3(LOC410208)
411539	GB44321	Apis mellifera	KAT8 regulatory NSL complex subunit 1(LOC411539)
410207	GB50971	Apis mellifera	dihydropyrimidine dehydrogenase [NADP(+)](LOC410207)
411538	GB48312	Apis mellifera	pre-mRNA-splicing factor RBM22(LOC411538)
412868	GB46121	Apis mellifera	ubiquitin fusion degradation protein 1 homolog(LOC412868)
410202	GB51084	Apis mellifera	radial spoke head protein 3 homolog(LOC410202)
411533	GB53080	Apis mellifera	alpha-2-macroglobulin receptor-associated protein(LOC411533)
412865	GB47258	Apis mellifera	collagen alpha-2(IX) chain(LOC412865)
726094	GB50573	Apis mellifera	uncharacterized LOC726094(LOC726094)
410201	GB50941	Apis mellifera	phosphatidate phosphatase LPIN3(LOC410201)
412866	GB47249	Apis mellifera	E3 ubiquitin-protein ligase SMURF2(LOC412866)
726095	GB50144	Apis mellifera	galactoside 2-alpha-L-fucosyltransferase 2-like(LOC726095)
410204	GB50974	Apis mellifera	titin-like(LOC410204)
411535	GB51464	Apis mellifera	rho GTPase-activating protein 44(LOC411535)
412863	GB40581	Apis mellifera	histone demethylase UTY-like(LOC412863)
726096	GB47591	Apis mellifera	protein FAM192A(LOC726096)
409219	GB41825	Apis mellifera	phospholipase A-2-activating protein(LOC409219)
411534	GB44365	Apis mellifera	circadian locomoter output cycles protein kaput-like(LOC411534)
412864	GB40589	Apis mellifera	FUN14 domain-containing protein 1(LOC412864)
726097	GB52390	Apis mellifera	uncharacterized LOC726097(LOC726097)
409218	GB44773	Apis mellifera	neural Wiskott-Aldrich syndrome protein(LOC409218)
410209	GB50986	Apis mellifera	hunchback(Hb)
409212	GB43304	Apis mellifera	cadherin-87A(LOC409212)
551832	GB41492	Apis mellifera	zinc finger matrin-type protein 2(LOC551832)
551833	GB10446	Apis mellifera	PAXIP1-associated glutamate-rich protein 1(LOC551833)
551830	GB42031	Apis mellifera	ral GTPase-activating protein subunit alpha-1(LOC551830)
551831	GB47834	Apis mellifera	histone deacetylase complex subunit SAP30 homolog(LOC551831)
411540	GB44338	Apis mellifera	small G protein signaling modulator 3 homolog(LOC411540)
551837	GB51580	Apis mellifera	long-chain-fatty-acid--CoA ligase ACSBG2(LOC551837)
410211	GB51059	Apis mellifera	four and a half LIM domains protein 2(LOC410211)
411542	GB53389	Apis mellifera	signal recognition particle receptor subunit alpha homolog(LOC411542)
412870	GB50886	Apis mellifera	mediator of RNA polymerase II transcription subunit 30(LOC412870)
726092	GB52026	Apis mellifera	uncharacterized LOC726092(LOC726092)
551834	GB40342	Apis mellifera	large subunit GTPase 1 homolog(LOC551834)
411541	GB44319	Apis mellifera	glycerate kinase(LOC411541)
726093	GB50683	Apis mellifera	tetratricopeptide repeat protein 14 homolog(LOC726093)
551835	GB51421	Apis mellifera	CTP synthase(LOC551835)
551838	GB46615	Apis mellifera	rho GTPase-activating protein 1(LOC551838)
551839	GB54448	Apis mellifera	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase(LOC551839)
410217	GB50997	Apis mellifera	structural maintenance of chromosomes protein 3(LOC410217)
411548	GB55003	Apis mellifera	protein phosphatase 1 regulatory subunit 16A(LOC411548)
726087	GB42648	Apis mellifera	ribophorin I(Rpn1)
409206	GB40928	Apis mellifera	tripartite motif-containing protein 2-like(LOC409206)
410216	GB50995	Apis mellifera	reticulocalbin-2(LOC410216)
726088	GB40946	Apis mellifera	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform(LOC726088)
410219	GB50998	Apis mellifera	pre-mRNA 3'-end-processing factor FIP1-like(LOC410219)
412878	GB52555	Apis mellifera	DNA N6-methyl adenine demethylase(LOC412878)
409204	GB46203	Apis mellifera	trypsin(LOC409204)
410218	GB51046	Apis mellifera	probable signal peptidase complex subunit 2(LOC410218)
409203	GB47303	Apis mellifera	UDP-glucuronosyltransferase 2A3-like(LOC409203)
412876	GB40280	Apis mellifera	pyruvate carboxylase, mitochondrial(LOC412876)
411546	GB53955	Apis mellifera	FGFR1 oncogene partner 2 homolog(LOC411546)
726085	GB50727	Apis mellifera	probable prefoldin subunit 2(LOC726085)
409208	GB40598	Apis mellifera	bumetanide-sensitive sodium-(potassium)-chloride cotransporter(LOC409208)
411545	GB45689	Apis mellifera	mediator of RNA polymerase II transcription subunit 25(LOC411545)
726086	GB53005	Apis mellifera	gem-associated protein 8-like(LOC726086)
409207	GB45688	Apis mellifera	synaptic vesicle membrane protein VAT-1 homolog-like(LOC409207)
409202	GB12637	Apis mellifera	40S ribosomal protein S9(LOC409202)
409201	GB50980	Apis mellifera	acyl-protein thioesterase 1(LOC409201)
409200	GB46196	Apis mellifera	uncharacterized protein DDB_G0289975(LOC409200)
551822	GB54784	Apis mellifera	ATP-dependent RNA helicase DDX42(LOC551822)
551820	GB48783	Apis mellifera	meiotic nuclear division protein 1 homolog(LOC551820)
412883	GB55818	Apis mellifera	Allatostatin C receptor(LOC412883)
551825	GB52904	Apis mellifera	nuclear hormone receptor HR96(LOC551825)
412884	GB49301	Apis mellifera	AP-1 complex subunit gamma-1(LOC412884)
726080	GB53066	Apis mellifera	uncharacterized LOC726080(LOC726080)
551826	GB49193	Apis mellifera	bromodomain-containing protein 2-like(LOC551826)
410222	GB54239	Apis mellifera	zinc finger protein 853(LOC410222)
411553	GB44883	Apis mellifera	protein bunched, class 2/F/G isoform(LOC411553)
726081	GB46026	Apis mellifera	mitochondrial import receptor subunit TOM70(LOC726081)
551823	GB52751	Apis mellifera	probable ATP-dependent RNA helicase DDX23(LOC551823)
411552	GB10787	Apis mellifera	ceramide glucosyltransferase(LOC411552)
551824	GB50606	Apis mellifera	putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1(LOC551824)
412880	GB42680	Apis mellifera	myotubularin-related protein 9(LOC412880)
551827	GB53829	Apis mellifera	CD2 antigen cytoplasmic tail-binding protein 2 homolog(LOC551827)
551828	GB55755	Apis mellifera	outspread(osp)
410228	GB48362	Apis mellifera	cAMP-dependent protein kinase catalytic subunit PRKX(LOC410228)
410227	GB48364	Apis mellifera	inactive hydroxysteroid dehydrogenase-like protein 1(LOC410227)
412889	GB53567	Apis mellifera	branched-chain-amino-acid aminotransferase, cytosolic-like(LOC412889)
410229	GB17781	Apis mellifera	slit homolog 2 protein(LOC410229)
411555	GB46450	Apis mellifera	CAS1 domain-containing protein 1(LOC411555)
412887	GB53570	Apis mellifera	A disintegrin and metalloproteinase with thrombospondin motifs 7-like(LOC412887)
410223	GB54227	Apis mellifera	phosducin-like protein(LOC410223)
411554	GB45282	Apis mellifera	Williams-Beuren syndrome chromosomal region 16 protein homolog(LOC411554)
412888	GB53531	Apis mellifera	A disintegrin and metalloproteinase with thrombospondin motifs 7-like(LOC412888)
410226	GB19338	Apis mellifera	activating transcription factor of chaperone(LOC410226)
411557	GB15285	Apis mellifera	protein FAM46C(LOC411557)
412885	GB53385	Apis mellifera	protein N-terminal asparagine amidohydrolase(LOC412885)
410225	GB48417	Apis mellifera	probable E3 ubiquitin-protein ligase RNF144A(LOC410225)
411556	GB51355	Apis mellifera	cytosolic carboxypeptidase 2(LOC411556)
412886	GB50238	Apis mellifera	tubulin alpha-1 chain-like(LOC412886)
551811	GB45420	Apis mellifera	graves disease carrier protein homolog(LOC551811)
410231	GB48399	Apis mellifera	protein toll(LOC410231)
551814	GB54599	Apis mellifera	EF-hand domain-containing protein 1-like(LOC551814)
551815	GB17754	Apis mellifera	putative methyltransferase C9orf114 homolog(LOC551815)
410233	GB48385	Apis mellifera	extracellular sulfatase SULF-1 homolog(LOC410233)
411564	GB49078	Apis mellifera	nose resistant to fluoxetine protein 6-like(LOC411564)
551812	GB53861	Apis mellifera	mitochondrial tRNA-specific 2-thiouridylase 1(LOC551812)
411563	GB49124	Apis mellifera	myotubularin-related protein 2(LOC411563)
412893	GB43497	Apis mellifera	hemicentin-2(LOC412893)
412890	GB47625	Apis mellifera	A disintegrin and metalloproteinase with thrombospondin motifs 3-like(LOC412890)
551818	GB45870	Apis mellifera	uncharacterized LOC551818(LOC551818)
551819	GB54845	Apis mellifera	TNF receptor-associated factor 6(LOC551819)
551817	GB45376	Apis mellifera	putative peptidyl-prolyl cis-trans isomerase dodo(LOC551817)
410239	GB48422	Apis mellifera	trimethylguanosine synthase(LOC410239)
410238	GB48359	Apis mellifera	leukocyte receptor cluster member 1(LOC410238)
411569	GB50593	Apis mellifera	protein TANC2-like(LOC411569)
551809	GB41136	Apis mellifera	putative elongator complex protein 1(LOC551809)
410235	GB48426	Apis mellifera	slit homolog 2 protein(LOC410235)
411566	GB47208	Apis mellifera	mitogen-activated protein kinase kinase kinase 11(LOC411566)
412898	GB44109	Apis mellifera	peptidylglycine alpha-hydroxylating monooxygenase(LOC412898)
410234	GB48384	Apis mellifera	UDP-glucuronic acid decarboxylase 1-like(LOC410234)
410237	GB48355	Apis mellifera	uncharacterized LOC410237(LOC410237)
411568	GB48209	Apis mellifera	bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66(LOC411568)
412896	GB49696	Apis mellifera	octopamine receptor beta-2R(LOC412896)
410236	GB48425	Apis mellifera	kyphoscoliosis peptidase(LOC410236)
412897	GB52973	Apis mellifera	E3 ubiquitin-protein ligase MYLIP(LOC412897)
411573	GB41029	Apis mellifera	cell cycle control protein 50A(LOC411573)
551803	GB19037	Apis mellifera	homeotic protein spalt-major(LOC551803)
410241	GB42944	Apis mellifera	ras-related protein Rab-10(LOC410241)
411572	GB41080	Apis mellifera	ubiquitin carboxyl-terminal hydrolase 14(LOC411572)
551804	GB48121	Apis mellifera	transcriptional regulator ERG homolog(LOC551804)
410244	GB56036	Apis mellifera	uncharacterized LOC410244(LOC410244)
411575	GB40310	Apis mellifera	nucleosomal histone kinase 1(LOC411575)
551801	GB52436	Apis mellifera	host cell factor 1(LOC551801)
551802	GB46677	Apis mellifera	radial spoke head protein 6 homolog A(LOC551802)
551807	GB51399	Apis mellifera	neurexin-4(LOC551807)
551805	GB42475	Apis mellifera	phospholipase B1, membrane-associated-like(LOC551805)
411570	GB50516	Apis mellifera	TPPP family protein CG45057(LOC411570)
551806	GB43879	Apis mellifera	aquaporin-like(LOC551806)
412825	GB47938	Apis mellifera	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1(LOC412825)
726054	GB42931	Apis mellifera	transport and Golgi organization 2 homolog(LOC726054)
412823	GB46012	Apis mellifera	gamma-tubulin complex component 2(LOC412823)
726056	GB54979	Apis mellifera	60S ribosomal protein L21(LOC726056)
409259	GB46511	Apis mellifera	protein abrupt(LOC409259)
412824	GB41553	Apis mellifera	Golgi phosphoprotein 3 homolog sauron(LOC412824)
726057	GB43560	Apis mellifera	insulin-like peptide 2(ILP-2)
409258	GB46420	Apis mellifera	eukaryotic translation initiation factor 3 subunit I(LOC409258)
726050	GB48100	Apis mellifera	forkhead box protein K2-like(LOC726050)
726051	GB50705	Apis mellifera	serine/threonine-protein kinase PLK1-like(LOC726051)
726053	GB46818	Apis mellifera	EH domain-binding protein 1(LOC726053)
409253	GB41651	Apis mellifera	glutamate dehydrogenase, mitochondrial(LOC409253)
409252	GB42496	Apis mellifera	uncharacterized LOC409252(LOC409252)
409251	GB54927	Apis mellifera	BRCA1-associated protein(LOC409251)
409250	GB40431	Apis mellifera	beta-ureidopropionase(LOC409250)
412829	GB40771	Apis mellifera	arylsulfatase B-like(LOC412829)
726058	GB54571	Apis mellifera	FACT complex subunit Ssrp1(LOC726058)
409257	GB40243	Apis mellifera	uncharacterized LOC409257(LOC409257)
551880	GB42854	Apis mellifera	uncharacterized LOC551880(LOC551880)
409256	GB53666	Apis mellifera	armadillo repeat-containing protein 5(LOC409256)
412827	GB54522	Apis mellifera	Bardet-Biedl syndrome 2 protein homolog(LOC412827)
409255	GB53710	Apis mellifera	active breakpoint cluster region-related protein(LOC409255)
412828	GB49939	Apis mellifera	protein FAM188A homolog(LOC412828)
409254	GB19069	Apis mellifera	protein RTF2 homolog(LOC409254)
551872	GB52351	Apis mellifera	porphobilinogen deaminase(LOC551872)
551870	GB52116	Apis mellifera	60S ribosomal protein L36(LOC551870)
551871	GB45985	Apis mellifera	P protein-like(LOC551871)
551877	GB47837	Apis mellifera	putative high mobility group protein B1-like 1(LOC551877)
551874	GB53828	Apis mellifera	uncharacterized LOC551874(LOC551874)
551875	GB41234	Apis mellifera	dnaJ homolog subfamily C member 28(LOC551875)
100578506	GB54995	Apis mellifera	Rho-associated, coiled-coil containing protein kinase 2(ROCK2)
100578507	GB46313	Apis mellifera	septum formation protein Maf(LOC100578507)
551879	GB42467	Apis mellifera	phospholipase B1, membrane-associated-like(LOC551879)
100578502	GB49361	Apis mellifera	uncharacterized LOC100578502(LOC100578502)
100578503	GB42494	Apis mellifera	negative elongation factor B(LOC100578503)
726043	GB16665	Apis mellifera	leucine-rich repeat-containing protein 57(LOC726043)
411503	GB53438	Apis mellifera	histone deacetylase Rpd3(LOC411503)
726044	GB55911	Apis mellifera	unconventional myosin-XVIIIa(LOC726044)
409249	GB42716	Apis mellifera	uncharacterized LOC409249(LOC409249)
411506	GB54231	Apis mellifera	dyslexia susceptibility 1 candidate gene 1 protein homolog(LOC411506)
412834	GB50372	Apis mellifera	importin-11(LOC412834)
726045	GB44030	Apis mellifera	apoptosis-resistant E3 ubiquitin protein ligase 1(LOC726045)
411505	GB44902	Apis mellifera	putative tRNA pseudouridine synthase Pus10(LOC411505)
412835	GB43885	Apis mellifera	uncharacterized LOC412835(LOC412835)
409247	GB49412	Apis mellifera	transcription factor IIIB 90 kDa subunit(LOC409247)
412832	GB47269	Apis mellifera	structural maintenance of chromosomes protein 2(LOC412832)
727370	GB51242	Apis mellifera	uncharacterized LOC727370(LOC727370)
726040	GB40077	Apis mellifera	4-coumarate--CoA ligase 1(LOC726040)
411502	GB53268	Apis mellifera	SPARC-related modular calcium-binding protein 1(LOC411502)
412830	GB50282	Apis mellifera	cys-loop ligand-gated ion channel(LOC412830)
726041	GB50014	Apis mellifera	DNA-directed primase/polymerase protein-like(LOC726041)
726042	GB53749	Apis mellifera	cytochrome c oxidase subunit 6A1, mitochondrial(LOC726042)
409242	GB52253	Apis mellifera	protein PRRC2C-like(LOC409242)
409241	GB45263	Apis mellifera	prohormone-4(LOC409241)
409240	GB41882	Apis mellifera	HMG box-containing protein 4(LOC409240)
411508	GB49304	Apis mellifera	tubulin gamma-2 chain(LOC411508)
726047	GB46762	Apis mellifera	cyclin-dependent kinases regulatory subunit(LOC726047)
409246	GB52340	Apis mellifera	MAP kinase-activated protein kinase 2(LOC409246)
411507	GB48870	Apis mellifera	cyclin-dependent kinase-like 4(LOC411507)
409245	GB54802	Apis mellifera	beta-1,4-glucuronyltransferase 1(LOC409245)
412838	GB43882	Apis mellifera	alpha-mannosidase 2(LOC412838)
409244	GB41822	Apis mellifera	2-phosphoxylose phosphatase 1(LOC409244)
411509	GB49411	Apis mellifera	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A(LOC411509)
412839	GB55198	Apis mellifera	homeobox protein caupolican(LOC412839)
409243	GB41852	Apis mellifera	A-kinase anchor protein 9(LOC409243)
551861	GB50601	Apis mellifera	ATP synthase subunit e, mitochondrial(LOC551861)
551860	GB41171	Apis mellifera	uncharacterized LOC551860(LOC551860)
551865	GB46073	Apis mellifera	uncharacterized LOC551865(LOC551865)
551866	GB41143	Apis mellifera	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial(LOC551866)
551863	GB51650	Apis mellifera	putative inorganic phosphate cotransporter(LOC551863)
100578519	GB43685	Apis mellifera	uncharacterized protein PF11_0207-like(LOC100578519)
551864	GB54588	Apis mellifera	transport and Golgi organization protein 11(LOC551864)
551869	GB40614	Apis mellifera	vitamin K-dependent gamma-carboxylase(LOC551869)
412840	GB55196	Apis mellifera	homeobox protein caupolican-like(LOC412840)
551867	GB40882	Apis mellifera	40S ribosomal protein S13(LOC551867)
100578515	GB52742	Apis mellifera	uncharacterized LOC100578515(LOC100578515)
551868	GB49285	Apis mellifera	kelch-like protein 5(LOC551868)
100578513	GB53238	Apis mellifera	KIF1-binding protein homolog(LOC100578513)
100578514	GB46585	Apis mellifera	keratinocyte proline-rich protein-like(LOC100578514)
100578512	GB42620	Apis mellifera	hydrocephalus-inducing protein-like(LOC100578512)
411515	GB44033	Apis mellifera	60S ribosomal protein L44(LOC411515)
726076	GB41768	Apis mellifera	centrosomal protein of 131 kDa(LOC726076)
100578520	GB51179	Apis mellifera	odorant receptor 58(Or58)
726077	GB14293	Apis mellifera	putative ATP-dependent RNA helicase DHX30(LOC726077)
409238	GB55268	Apis mellifera	43 kDa receptor-associated protein of the synapse homolog(LOC409238)
412846	GB51490	Apis mellifera	NAD-dependent protein deacetylase Sirt6(LOC412846)
726079	GB53428	Apis mellifera	nicotinic acetylcholine receptor beta2 subunit(nAChRb2)
409236	GB55643	Apis mellifera	ATP synthase subunit O, mitochondrial(LOC409236)
412843	GB51494	Apis mellifera	phosphoenolpyruvate carboxykinase(LOC412843)
726072	GB49639	Apis mellifera	putative defense protein 3(LOC726072)
411510	GB49307	Apis mellifera	DNA-directed RNA polymerases I and III subunit RPAC1(LOC411510)
412844	GB51493	Apis mellifera	dual specificity protein phosphatase CDC14B-like(LOC412844)
726073	GB55940	Apis mellifera	gamma-tubulin complex component 3(LOC726073)
726074	GB44686	Apis mellifera	uncharacterized LOC726074(LOC726074)
412842	GB49839	Apis mellifera	sorting nexin-8-like(LOC412842)
409231	GB53299	Apis mellifera	dipeptidase 1-like(LOC409231)
409230	GB53859	Apis mellifera	arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2(LOC409230)
411519	GB53137	Apis mellifera	tubulin alpha-1C chain-like(LOC411519)
409235	GB55370	Apis mellifera	neurotrimin-like(LOC409235)
409234	GB55572	Apis mellifera	S-phase kinase-associated protein 1(LOC409234)
409232	GB53435	Apis mellifera	uncharacterized LOC409232(LOC409232)
551850	GB51903	Apis mellifera	uncharacterized LOC551850(LOC551850)
551854	GB44621	Apis mellifera	serine/threonine-protein phosphatase 5(LOC551854)
551855	GB47827	Apis mellifera	exosome complex component rrp45-like(LOC551855)
551852	GB49585	Apis mellifera	ubiquitin-conjugating enzyme E2-17 kDa(LOC551852)
551853	GB48643	Apis mellifera	STT3, subunit of the oligosaccharyltransferase complex, homolog B(STT3B)
412850	GB51486	Apis mellifera	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog(LOC412850)
551858	GB54890	Apis mellifera	kynurenine 3-monooxygenase(LOC551858)
412851	GB51524	Apis mellifera	glycerophosphodiester phosphodiesterase domain-containing protein 1-like(LOC412851)
551859	GB49410	Apis mellifera	calmodulin(LOC551859)
100578529	GB53378	Apis mellifera	zinc finger protein 701-like(LOC100578529)
411520	GB52694	Apis mellifera	proteasome subunit beta type-4(LOC411520)
551856	GB41491	Apis mellifera	adenosine kinase-like(LOC551856)
100578526	GB49351	Apis mellifera	solute carrier family 35 member E2-like(LOC100578526)
726071	GB46917	Apis mellifera	uncharacterized LOC726071(LOC726071)
551857	GB49370	Apis mellifera	sepiapterin reductase(LOC551857)
100578524	GB43969	Apis mellifera	uncharacterized LOC100578524(LOC100578524)
100578522	GB40309	Apis mellifera	peroxisomal biogenesis factor 19(LOC100578522)
100578523	GB43258	Apis mellifera	protein glass-like(LOC100578523)
411526	GB46447	Apis mellifera	general transcription factor IIH subunit 2(LOC411526)
412858	GB51385	Apis mellifera	hemicentin-2-like(LOC412858)
726065	GB49309	Apis mellifera	uncharacterized LOC726065(LOC726065)
727396	GB44758	Apis mellifera	eukaryotic translation initiation factor 2-alpha kinase(LOC727396)
409228	GB50866	Apis mellifera	scavenger receptor class B member 1(LOC409228)
411525	GB40312	Apis mellifera	choline/ethanolamine kinase(LOC411525)
412859	GB51391	Apis mellifera	hemicentin-2(LOC412859)
726066	GB43705	Apis mellifera	facilitated trehalose transporter Tret1-like(LOC726066)
100578532	GB48129	Apis mellifera	uncharacterized LOC100578532(LOC100578532)
409227	GB42692	Apis mellifera	ultraspiracle(Usp)
726067	GB47076	Apis mellifera	Hermansky-Pudlak syndrome 1 protein homolog(LOC726067)
727398	GB45355	Apis mellifera	uncharacterized LOC727398(LOC727398)
409226	GB48951	Apis mellifera	FAS-associated factor 1(LOC409226)
726068	GB50142	Apis mellifera	uncharacterized LOC726068(LOC726068)
727399	GB48034	Apis mellifera	protein numb(LOC727399)
100578530	GB47047	Apis mellifera	E3 SUMO-protein ligase NSE2-like(LOC100578530)
409225	GB48926	Apis mellifera	NEDD8-conjugating enzyme Ubc12(LOC409225)
726061	GB14937	Apis mellifera	mitochondrial import inner membrane translocase subunit Tim10(LOC726061)
727392	GB47903	Apis mellifera	endocuticle structural glycoprotein SgAbd-2(LOC727392)
412855	GB53701	Apis mellifera	Down syndrome cell adhesion molecule-like protein Dscam2(LOC412855)
726062	GB54993	Apis mellifera	UPF0585 protein C16orf13 homolog A(LOC726062)
727393	GB41589	Apis mellifera	putative SERF-like protein(LOC727393)
411524	GB44443	Apis mellifera	transmembrane protein 179(LOC411524)
726063	GB48360	Apis mellifera	zinc finger protein 569-like(LOC726063)
412853	GB12558	Apis mellifera	brain tumor protein(LOC412853)
409229	GB54968	Apis mellifera	phosphorylated adapter RNA export protein(LOC409229)
726069	GB50222	Apis mellifera	atrial natriuretic peptide receptor 1-like(LOC726069)
409224	GB44464	Apis mellifera	ubiquinone biosynthesis protein COQ7(Coq7)
411529	GB53155	Apis mellifera	maternal embryonic leucine zipper kinase-like(LOC411529)
409222	GB54386	Apis mellifera	cyclin G(LOC409222)
409221	GB55644	Apis mellifera	uncharacterized LOC409221(LOC409221)
551840	GB54589	Apis mellifera	YTH domain-containing family protein 1(LOC551840)
551843	GB47389	Apis mellifera	LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial(LOC551843)
551844	GB54298	Apis mellifera	stromal cell-derived factor 2-like(LOC551844)
551841	GB41142	Apis mellifera	probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase(LOC551841)
551842	GB53240	Apis mellifera	E3 ubiquitin-protein ligase RNF25(LOC551842)
551847	GB52923	Apis mellifera	N-acetyl-D-glucosamine kinase(LOC551847)
412862	GB49400	Apis mellifera	protein msta-like(LOC412862)
100577209	GB49988	Apis mellifera	SRR1-like protein(LOC100577209)
551848	GB51276	Apis mellifera	protocadherin-like wing polarity protein stan(LOC551848)
410200	GB51106	Apis mellifera	mRNA turnover protein 4 homolog(LOC410200)
411531	GB53079	Apis mellifera	motile sperm domain-containing protein 1-like(LOC411531)
727390	GB44756	Apis mellifera	uncharacterized LOC727390(LOC727390)
551845	GB49879	Apis mellifera	potassium voltage-gated channel protein Shaw-like(LOC551845)
100578537	GB43439	Apis mellifera	UV radiation resistance-associated gene protein(LOC100578537)
726060	GB44726	Apis mellifera	basigin(LOC726060)
551846	GB43709	Apis mellifera	membralin-like(LOC551846)
100577202	GB55095	Apis mellifera	uncharacterized LOC100577202(LOC100577202)
551849	GB50756	Apis mellifera	L-galactose dehydrogenase-like(LOC551849)
100578534	GB55111	Apis mellifera	TP53-regulated inhibitor of apoptosis 1-like(LOC100578534)
100578542	GB41296	Apis mellifera	FMRFamide(LOC100578542)
100578543	GB53930	Apis mellifera	uncharacterized LOC100578543(LOC100578543)
100578540	GB44995	Apis mellifera	coiled-coil-helix-coiled-coil-helix domain-containing protein 2-like(LOC100578540)
100578548	GB52103	Apis mellifera	uncharacterized LOC100578548(LOC100578548)
100578546	GB41517	Apis mellifera	uncharacterized LOC100578546(LOC100578546)
100578547	GB45170	Apis mellifera	uncharacterized LOC100578547(LOC100578547)
100577214	GB42377	Apis mellifera	protein giant-lens(LOC100577214)
100577222	GB40110	Apis mellifera	uncharacterized LOC100577222(LOC100577222)
100577220	GB46246	Apis mellifera	regulatory protein MIG1-like(LOC100577220)
100578551	GB51585	Apis mellifera	39S ribosomal protein L34, mitochondrial(LOC100578551)
100577221	GB42555	Apis mellifera	uncharacterized LOC100577221(LOC100577221)
100577228	GB51885	Apis mellifera	uncharacterized LOC100577228(LOC100577228)
100577226	GB52395	Apis mellifera	odorant receptor 4-like(LOC100577226)
100578557	GB53142	Apis mellifera	solute carrier family 46 member 3(LOC100578557)
100577224	GB53636	Apis mellifera	protein PF14_0175-like(LOC100577224)
100578556	GB46212	Apis mellifera	putative uncharacterized protein DDB_G0282133(LOC100578556)
